Faculty,Interested_Field,GPA,Work_Experience,TopUp,Career_Choice,Position
History and Archaeology,Heritage Consultant,2.58,4,Archaeology,Heritage Consultant,Intern
History and Archaeology,Cultural Heritage Officer,3.08,10,Archaeology,Cultural Heritage Officer,Intern
History and Archaeology,Archaeological Excavator,3.04,8,Archaeology,Archaeological Excavator,Intern
History and Archaeology,Cultural Tourism Officer,3.62,15,Archaeology,Cultural Tourism Officer,Associate
Music and Creative Technology,Musician,2.63,9,Music,Musician,Intern
Music and Creative Technology,Music Teacher,2.98,16,Music,Music Teacher,Associate
Music and Creative Technology,Composer,2.82,1,Music,Composer,Intern
Music and Creative Technology,Music Producer,2.58,16,Music,Music Producer,Associate
Music and Creative Technology,Sound Engineer,2.74,5,Music,Sound Engineer,Intern
Music and Creative Technology,Music Therapist,2.84,17,Music,Music Therapist,Associate
Music and Creative Technology,Music Journalist,3.22,8,Music,Music Journalist,Intern
Music and Creative Technology,Musicologist,3.37,0,Music,Musicologist,Intern
Music and Creative Technology,Music Director,2.85,13,Music,Music Director,Associate
Music and Creative Technology,Concert Promoter,2.52,0,Music,Concert Promoter,Intern
Music and Creative Technology,Songwriter,2.76,11,CreativeMusic,Songwriter,Intern
Music and Creative Technology,Music Producer,3.16,7,CreativeMusic,Music Producer,Intern
Music and Creative Technology,Sound Designer,2.88,4,CreativeMusic,Sound Designer,Intern
Music and Creative Technology,Film Scorer,2.67,6,CreativeMusic,Film Scorer,Intern
Music and Creative Technology,Composer,3.27,13,CreativeMusic,Composer,Associate
Music and Creative Technology,Performer,3.09,15,CreativeMusic,Performer,Associate
Music and Creative Technology,Recording Engineer,2.96,6,CreativeMusic,Recording Engineer,Intern
Music and Creative Technology,Music Director,3.12,5,CreativeMusic,Music Director,Intern
Music and Creative Technology,Music Teacher,3.33,4,CreativeMusic,Music Teacher,Intern
Music and Creative Technology,Music Therapist,3.5,11,CreativeMusic,Music Therapist,Intern
Music and Creative Technology,Technology Consultant,3.47,12,Technology and Production,Technology Consultant,Associate
Music and Creative Technology,Production Manager,3.06,5,Technology and Production,Production Manager,Intern
Music and Creative Technology,Manufacturing Engineer,2.89,6,Technology and Production,Manufacturing Engineer,Intern
Music and Creative Technology,Quality Control Specialist,3.7,4,Technology and Production,Quality Control Specialist,Intern
Music and Creative Technology,Process Improvement Analyst,3.5,0,Technology and Production,Process Improvement Analyst,Intern
Music and Creative Technology,Operations Manager,2.82,3,Technology and Production,Operations Manager,Intern
Music and Creative Technology,Supply Chain Manager,3.09,2,Technology and Production,Supply Chain Manager,Intern
Music and Creative Technology,Product Development Engineer,3.21,9,Technology and Production,Product Development Engineer,Intern
Music and Creative Technology,Industrial Designer,3.12,14,Technology and Production,Industrial Designer,Associate
Music and Creative Technology,Research and Development Scientist,3.17,8,Technology and Production,Research and Development Scientist,Intern
Pali And Buddhist Studies,Pali Teacher,2.65,5, Pali,Pali Teacher,Intern
Pali And Buddhist Studies,Buddhist Studies Researcher,2.51,15, Pali,Buddhist Studies Researcher,Associate
Pali And Buddhist Studies,Translator,3.52,14, Pali,Translator,Associate
Pali And Buddhist Studies,Pali Scholar,3.7,4, Pali,Pali Scholar,Intern
Pali And Buddhist Studies,Researcher,2.99,15, Pali,Researcher,Associate
Pali And Buddhist Studies,Buddhist Monk,2.92,2, Pali,Buddhist Monk,Intern
Pali And Buddhist Studies,Academic Lecturer,2.65,11, Pali,Academic Lecturer,Intern
Pali And Buddhist Studies,Pali Editor,3.38,12, Pali,Pali Editor,Associate
Pali And Buddhist Studies,Pali Literature Expert,3.07,0, Pali,Pali Literature Expert,Intern
Pali And Buddhist Studies,Comparative Religion Specialist,3.58,15, Pali,Comparative Religion Specialist,Associate
Pali And Buddhist Studies,Buddhist Studies Researcher,2.6,0, Civilization,Buddhist Studies Researcher,Intern
Pali And Buddhist Studies,Buddhist Cultural Heritage Manager,2.91,4, Civilization,Buddhist Cultural Heritage Manager,Intern
Pali And Buddhist Studies,Buddhist Tourism Specialist,3.1,6, Civilization,Buddhist Tourism Specialist,Intern
Pali And Buddhist Studies,Buddhist Art Historian,2.6,9, Civilization,Buddhist Art Historian,Intern
Pali And Buddhist Studies,Buddhist Archaeologist,3.13,10, Civilization,Buddhist Archaeologist,Intern
Pali And Buddhist Studies,Buddhist Educator,2.8,16, Civilization,Buddhist Educator,Associate
Pali And Buddhist Studies,Buddhist Temple Administrator,2.64,10, Civilization,Buddhist Temple Administrator,Intern
Pali And Buddhist Studies,Buddhist Writer,3.5,2, Civilization,Buddhist Writer,Intern
Pali And Buddhist Studies,Interfaith Dialogue Facilitator,3.19,14, Civilization,Interfaith Dialogue Facilitator,Associate
Pali And Buddhist Studies,Buddhist Philosopher,2.55,1, Civilization,Buddhist Philosopher,Intern
Pali And Buddhist Studies,Buddhist Philosopher,2.81,14,Philosophy,Buddhist Philosopher,Associate
Pali And Buddhist Studies,Buddhist Studies Researcher,2.6,11,Philosophy,Buddhist Studies Researcher,Intern
Pali And Buddhist Studies,Meditation Teacher,2.65,14,Philosophy,Meditation Teacher,Associate
Pali And Buddhist Studies,Buddhist Chaplain,2.8,1,Philosophy,Buddhist Chaplain,Intern
Pali And Buddhist Studies,Spiritual Counselor,2.53,3,Philosophy,Spiritual Counselor,Intern
Pali And Buddhist Studies,Buddhist Writer,2.81,11,Philosophy,Buddhist Writer,Intern
Pali And Buddhist Studies,Philosophy Professor,3.05,7,Philosophy,Philosophy Professor,Intern
Pali And Buddhist Studies,Mindfulness Instructor,3.26,11,Philosophy,Mindfulness Instructor,Intern
Pali And Buddhist Studies,Interfaith Dialogue Facilitator,3.19,9,Philosophy,Interfaith Dialogue Facilitator,Intern
Pali And Buddhist Studies,Buddhist Ethics Consultant,2.79,8,Philosophy,Buddhist Ethics Consultant,Intern
Pali And Buddhist Studies,Buddhist Tourism Specialist,3.02,10,Buddhist Heritage and Tourism,Buddhist Tourism Specialist,Intern
Pali And Buddhist Studies,Cultural Heritage Manager,3.51,0,Buddhist Heritage and Tourism,Cultural Heritage Manager,Intern
Pali And Buddhist Studies,Buddhist Cultural Heritage Consultant,3.41,8,Buddhist Heritage and Tourism,Buddhist Cultural Heritage Consultant,Intern
Pali And Buddhist Studies,Tour Guide,2.58,2,Buddhist Heritage and Tourism,Tour Guide,Intern
Pali And Buddhist Studies,Museum Curator,2.72,2,Buddhist Heritage and Tourism,Museum Curator,Intern
Pali And Buddhist Studies,Heritage Consultant,2.98,7,Buddhist Heritage and Tourism,Heritage Consultant,Intern
Pali And Buddhist Studies,Travel Writer,3.55,2,Buddhist Heritage and Tourism,Travel Writer,Intern
Pali And Buddhist Studies,Cultural Event Planner,2.82,5,Buddhist Heritage and Tourism,Cultural Event Planner,Intern
Pali And Buddhist Studies,Destination Management Specialist,2.77,9,Buddhist Heritage and Tourism,Destination Management Specialist,Intern
Pali And Buddhist Studies,Cultural Tourism Officer,2.99,3,Buddhist Heritage and Tourism,Cultural Tourism Officer,Intern
Geography,Geographer,3.51,16,Geography,Geographer,Associate
Geography,GIS Specialist,2.51,17,Geography,GIS Specialist,Associate
Geography,Urban Planner,2.81,14,Geography,Urban Planner,Associate
Geography,Environmental Consultant,2.75,16,Geography,Environmental Consultant,Associate
Geography,Cartographer,2.59,5,Geography,Cartographer,Intern
Geography,Remote Sensing Analyst,2.7,14,Geography,Remote Sensing Analyst,Associate
Geography,Land Use Planner,3.31,12,Geography,Land Use Planner,Associate
Geography,Transportation Planner,3.35,6,Geography,Transportation Planner,Intern
Geography,Spatial Data Analyst,2.68,4,Geography,Spatial Data Analyst,Intern
Geography,Climate Change Analyst,3.22,2,Geography,Climate Change Analyst,Intern
Geography,GIS Specialist,2.61,15,Geo-Spatial Technology,GIS Specialist,Associate
Pali And Buddhist Studies,Museum Curator,2.72,2,Buddhist Heritage and Tourism,Museum Curator,Intern
Pali And Buddhist Studies,Heritage Consultant,2.98,7,Buddhist Heritage and Tourism,Heritage Consultant,Intern
Pali And Buddhist Studies,Travel Writer,3.55,2,Buddhist Heritage and Tourism,Travel Writer,Intern
Pali And Buddhist Studies,Cultural Event Planner,2.82,5,Buddhist Heritage and Tourism,Cultural Event Planner,Intern
Pali And Buddhist Studies,Destination Management Specialist,2.77,9,Buddhist Heritage and Tourism,Destination Management Specialist,Intern
Pali And Buddhist Studies,Cultural Tourism Officer,2.99,3,Buddhist Heritage and Tourism,Cultural Tourism Officer,Intern
Geography,Geographer,3.51,16,Geography,Geographer,Associate
Geography,GIS Specialist,2.51,17,Geography,GIS Specialist,Associate
Geography,Urban Planner,2.81,14,Geography,Urban Planner,Associate
Geography,Environmental Consultant,2.75,16,Geography,Environmental Consultant,Associate
Geography,Cartographer,2.59,5,Geography,Cartographer,Intern
Geography,Remote Sensing Analyst,2.7,14,Geography,Remote Sensing Analyst,Associate
Geography,Land Use Planner,3.31,12,Geography,Land Use Planner,Associate
Geography,Transportation Planner,3.35,6,Geography,Transportation Planner,Intern
Geography,Spatial Data Analyst,2.68,4,Geography,Spatial Data Analyst,Intern
Geography,Climate Change Analyst,3.22,2,Geography,Climate Change Analyst,Intern
Geography,GIS Specialist,2.61,15,Geo-Spatial Technology,GIS Specialist,Associate
Geography,Remote Sensing Analyst,2.59,14,Geo-Spatial Technology,Remote Sensing Analyst,Associate
Geography,Cartographer,3.41,6,Geo-Spatial Technology,Cartographer,Intern
Geography,Geospatial Analyst,3.42,14,Geo-Spatial Technology,Geospatial Analyst,Associate
Languages&Cultural Studies,Localization Specialist,3.12,1,Japanese,Localization Specialist,Intern
Languages&Cultural Studies,Travel Guide,3.37,12,Japanese,Travel Guide,Associate
Languages&Cultural Studies,Cross-cultural Consultant,2.58,6,Japanese,Cross-cultural Consultant,Intern
Languages&Cultural Studies,Japanese Studies Researcher,3.54,5,Japanese,Japanese Studies Researcher,Intern
Languages&Cultural Studies,Japan Market Analyst,2.51,8,Japanese,Japan Market Analyst,Intern
Languages&Cultural Studies,Tour Operator,2.77,17,Japanese,Tour Operator,Associate
Languages&Cultural Studies,Chinese Teacher,3.23,0,Chinese,Chinese Teacher,Intern
Languages&Cultural Studies,Mandarin Translator,3.38,4,Chinese,Mandarin Translator,Intern
Languages&Cultural Studies,Chinese Language Instructor,2.91,9,Chinese,Chinese Language Instructor,Intern
Languages&Cultural Studies,Business Consultant (China),2.97,10,Chinese,Business Consultant (China),Intern
Languages&Cultural Studies,Cross-cultural Specialist (China),3.52,11,Chinese,Cross-cultural Specialist (China),Intern
Languages&Cultural Studies,China Market Analyst,3.01,16,Chinese,China Market Analyst,Associate
Languages&Cultural Studies,International Relations Specialist (China),2.92,16,Chinese,International Relations Specialist (China),Associate
Languages&Cultural Studies,China Studies Researcher,3.64,4,Chinese,China Studies Researcher,Intern
Languages&Cultural Studies,Import/Export Coordinator (China),3.5,12,Chinese,Import/Export Coordinator (China),Associate
Languages&Cultural Studies,Chinese Tour Guide,2.91,5,Chinese,Chinese Tour Guide,Intern
Languages&Cultural Studies,French Teacher,2.8,17,French,French Teacher,Associate
Languages&Cultural Studies,Translator,3.04,9,French,Translator,Intern
Languages&Cultural Studies,Interpreter,3.05,4,French,Interpreter,Intern
Languages&Cultural Studies,Language Instructor,3.49,11,French,Language Instructor,Intern
Languages&Cultural Studies,Tour Guide,3.65,6,French,Tour Guide,Intern
Languages&Cultural Studies,Diplomat,2.66,16,French,Diplomat,Associate
Languages&Cultural Studies,International Relations Specialist,3.68,2,French,International Relations Specialist,Intern
Languages&Cultural Studies,French Studies Researcher,2.94,1,French,French Studies Researcher,Intern
Languages&Cultural Studies,Cultural Attaché,2.93,3,French,Cultural Attaché,Intern
Languages&Cultural Studies,French Literature Expert,2.84,17,French,French Literature Expert,Associate
Languages&Cultural Studies,Dance Instructor,3.12,8,Dance and Cultural Studies,Dance Instructor,Intern
Languages&Cultural Studies,Choreographer,2.53,2,Dance and Cultural Studies,Choreographer,Intern
Languages&Cultural Studies,Dance Company Manager,3.02,4,Dance and Cultural Studies,Dance Company Manager,Intern
Languages&Cultural Studies,Dance Therapist,3.56,0,Dance and Cultural Studies,Dance Therapist,Intern
Pali And Buddhist Studies,Buddhist Studies Researcher,2.51,15, Pali,Buddhist Studies Researcher,Associate
Pali And Buddhist Studies,Translator,3.52,14, Pali,Translator,Associate
Pali And Buddhist Studies,Pali Scholar,3.7,4, Pali,Pali Scholar,Intern
Pali And Buddhist Studies,Researcher,2.99,15, Pali,Researcher,Associate
Pali And Buddhist Studies,Buddhist Monk,2.92,2, Pali,Buddhist Monk,Intern
Pali And Buddhist Studies,Academic Lecturer,2.65,11, Pali,Academic Lecturer,Intern
Pali And Buddhist Studies,Pali Editor,3.38,12, Pali,Pali Editor,Associate
Pali And Buddhist Studies,Pali Literature Expert,3.07,0, Pali,Pali Literature Expert,Intern
Pali And Buddhist Studies,Comparative Religion Specialist,3.58,15, Pali,Comparative Religion Specialist,Associate
Pali And Buddhist Studies,Buddhist Studies Researcher,2.6,0, Civilization,Buddhist Studies Researcher,Intern
Pali And Buddhist Studies,Buddhist Cultural Heritage Manager,2.91,4, Civilization,Buddhist Cultural Heritage Manager,Intern
Pali And Buddhist Studies,Buddhist Tourism Specialist,3.1,6, Civilization,Buddhist Tourism Specialist,Intern
Pali And Buddhist Studies,Buddhist Art Historian,2.6,9, Civilization,Buddhist Art Historian,Intern
Pali And Buddhist Studies,Buddhist Archaeologist,3.13,10, Civilization,Buddhist Archaeologist,Intern
Pali And Buddhist Studies,Buddhist Educator,2.8,16, Civilization,Buddhist Educator,Associate
Pali And Buddhist Studies,Buddhist Temple Administrator,2.64,10, Civilization,Buddhist Temple Administrator,Intern
Pali And Buddhist Studies,Buddhist Writer,3.5,2, Civilization,Buddhist Writer,Intern
Pali And Buddhist Studies,Interfaith Dialogue Facilitator,3.19,14, Civilization,Interfaith Dialogue Facilitator,Associate
History and Archaeology,Field Technician,3.4,7,Archaeology,Field Technician,Intern
History and Archaeology,Museum Curator,2.54,8,Archaeology,Museum Curator,Intern
History and Archaeology,Conservation Specialist,3.32,5,Archaeology,Conservation Specialist,Intern
History and Archaeology,Academic Researcher,3.42,8,Archaeology,Academic Researcher,Intern
History and Archaeology,Heritage Consultant,2.58,4,Archaeology,Heritage Consultant,Intern
History and Archaeology,Cultural Heritage Officer,3.08,10,Archaeology,Cultural Heritage Officer,Intern
History and Archaeology,Archaeological Excavator,3.04,8,Archaeology,Archaeological Excavator,Intern
History and Archaeology,Cultural Tourism Officer,3.62,15,Archaeology,Cultural Tourism Officer,Associate
Music and Creative Technology,Musician,2.63,9,Music,Musician,Intern
Music and Creative Technology,Music Teacher,2.98,16,Music,Music Teacher,Associate
Music and Creative Technology,Composer,2.82,1,Music,Composer,Intern
Music and Creative Technology,Music Producer,2.58,16,Music,Music Producer,Associate
Music and Creative Technology,Sound Engineer,2.74,5,Music,Sound Engineer,Intern
Music and Creative Technology,Music Therapist,2.84,17,Music,Music Therapist,Associate
Music and Creative Technology,Music Journalist,3.22,8,Music,Music Journalist,Intern
Music and Creative Technology,Musicologist,3.37,0,Music,Musicologist,Intern
Music and Creative Technology,Music Director,2.85,13,Music,Music Director,Associate
Music and Creative Technology,Concert Promoter,2.52,0,Music,Concert Promoter,Intern
Music and Creative Technology,Songwriter,2.76,11,CreativeMusic,Songwriter,Intern
Music and Creative Technology,Music Producer,3.16,7,CreativeMusic,Music Producer,Intern
Music and Creative Technology,Sound Designer,2.88,4,CreativeMusic,Sound Designer,Intern
Music and Creative Technology,Film Scorer,2.67,6,CreativeMusic,Film Scorer,Intern
Music and Creative Technology,Composer,3.27,13,CreativeMusic,Composer,Associate
Music and Creative Technology,Performer,3.09,15,CreativeMusic,Performer,Associate
Music and Creative Technology,Recording Engineer,2.96,6,CreativeMusic,Recording Engineer,Intern
Music and Creative Technology,Music Director,3.12,5,CreativeMusic,Music Director,Intern
Music and Creative Technology,Music Teacher,3.33,4,CreativeMusic,Music Teacher,Intern
Music and Creative Technology,Music Therapist,3.5,11,CreativeMusic,Music Therapist,Intern
Music and Creative Technology,Technology Consultant,3.47,12,Technology and Production,Technology Consultant,Associate
Music and Creative Technology,Production Manager,3.06,5,Technology and Production,Production Manager,Intern
Music and Creative Technology,Manufacturing Engineer,2.89,6,Technology and Production,Manufacturing Engineer,Intern
Music and Creative Technology,Quality Control Specialist,3.7,4,Technology and Production,Quality Control Specialist,Intern
Music and Creative Technology,Process Improvement Analyst,3.5,0,Technology and Production,Process Improvement Analyst,Intern
Music and Creative Technology,Operations Manager,2.82,3,Technology and Production,Operations Manager,Intern
Music and Creative Technology,Supply Chain Manager,3.09,2,Technology and Production,Supply Chain Manager,Intern
Music and Creative Technology,Product Development Engineer,3.21,9,Technology and Production,Product Development Engineer,Intern
Music and Creative Technology,Industrial Designer,3.12,14,Technology and Production,Industrial Designer,Associate
Music and Creative Technology,Research and Development Scientist,3.17,8,Technology and Production,Research and Development Scientist,Intern
Pali And Buddhist Studies,Pali Teacher,2.65,5, Pali,Pali Teacher,Intern
Pali And Buddhist Studies,Buddhist Studies Researcher,2.51,15, Pali,Buddhist Studies Researcher,Associate
Pali And Buddhist Studies,Translator,3.52,14, Pali,Translator,Associate
Pali And Buddhist Studies,Pali Scholar,3.7,4, Pali,Pali Scholar,Intern
Pali And Buddhist Studies,Researcher,2.99,15, Pali,Researcher,Associate
Pali And Buddhist Studies,Buddhist Monk,2.92,2, Pali,Buddhist Monk,Intern
Pali And Buddhist Studies,Academic Lecturer,2.65,11, Pali,Academic Lecturer,Intern
Pali And Buddhist Studies,Pali Editor,3.38,12, Pali,Pali Editor,Associate
Pali And Buddhist Studies,Pali Literature Expert,3.07,0, Pali,Pali Literature Expert,Intern
Pali And Buddhist Studies,Comparative Religion Specialist,3.58,15, Pali,Comparative Religion Specialist,Associate
Pali And Buddhist Studies,Buddhist Studies Researcher,2.6,0, Civilization,Buddhist Studies Researcher,Intern
Pali And Buddhist Studies,Buddhist Cultural Heritage Manager,2.91,4, Civilization,Buddhist Cultural Heritage Manager,Intern
Pali And Buddhist Studies,Buddhist Tourism Specialist,3.1,6, Civilization,Buddhist Tourism Specialist,Intern
Pali And Buddhist Studies,Buddhist Art Historian,2.6,9, Civilization,Buddhist Art Historian,Intern
Pali And Buddhist Studies,Buddhist Archaeologist,3.13,10, Civilization,Buddhist Archaeologist,Intern
Pali And Buddhist Studies,Buddhist Educator,2.8,16, Civilization,Buddhist Educator,Associate
Pali And Buddhist Studies,Buddhist Temple Administrator,2.64,10, Civilization,Buddhist Temple Administrator,Intern
Pali And Buddhist Studies,Buddhist Writer,3.5,2, Civilization,Buddhist Writer,Intern
Pali And Buddhist Studies,Interfaith Dialogue Facilitator,3.19,14, Civilization,Interfaith Dialogue Facilitator,Associate
Pali And Buddhist Studies,Buddhist Philosopher,2.55,1, Civilization,Buddhist Philosopher,Intern
Pali And Buddhist Studies,Buddhist Philosopher,2.81,14,Philosophy,Buddhist Philosopher,Associate
Pali And Buddhist Studies,Buddhist Studies Researcher,2.6,11,Philosophy,Buddhist Studies Researcher,Intern
Computing,Design,3.31,1,Computer System Networking,Audio Visual Technician,Intern
Computing,Support,3.37,2,Information System Engineering,Site Support Engineer,Intern
Computing,Support,3.35,24,Computer Systems,Field Engineer Server Support,Associate
Computing,Ensemble Learning,2.79,18,Data Science,Ensemble Learning Specialist,Associate
Computing,Data Science Ethics,3.35,21,Data Science,Data Science Ethics Specialist,Associate
Computing,Bayesian Statistics,3.39,8,Data Science,Bayesian Statistician,Intern
Computing,Data Science in Marketing,2.74,2,Data Science,Marketing Data Scientist,Intern
Computing,Software Testing and Quality Assurance,2.6,4,Quality assurance,Software Testing Engineer,Intern
Computing,Software Architecture and Design,2.88,14,Software Engineering,Software Architect,Associate
Computing,Agile Software Development,3.11,5,Software Engineering,Agile Software Developer,Intern
Computing,DevOps,3.17,13,Software Engineering,DevOps Engineer,Associate
Computing,Software Maintenance and Evolution,3.21,11,Software Engineering,Software Maintenance Engineer,Intern
Computing,Requirements Engineering,3.44,17,Software Engineering,Requirements Engineer,Associate
Computing,Software Metrics and Measurement,2.84,8,Software Engineering,Software Metrics Analyst,Intern
Computing,Software Project Management,3.16,17,Software Engineering,Software Project Manager,Associate
Computing,Software Verification and Validation,3.26,9,Software Engineering,Software Verification and Validation Engineer,Intern
Computing,Software Process Improvement,3.55,8,Software Engineering,Software Process Improvement Specialist,Intern
Computing,Continuous Integration and Deployment,3.11,19,Software Engineering,CI/CD Engineer,Associate
Computing,User Interface (UI) Design,2.86,14,Software Engineering,UI Designer,Associate
Computing,Software Security,3.6,15,Software Engineering,Software Security Engineer,Associate
Computing,Software Documentation,2.78,13,Software Engineering,Technical Writer,Associate
Computing,Software Configuration Management,2.88,4,Software Engineering,Configuration Manager,Intern
Computing,Software Quality Management,2.83,19,Software Engineering,Software Quality Manager,Associate
Computing,Software Engineering Ethics,2.84,10,Software Engineering,Software Engineering Ethics Specialist,Intern
Computing,Software Requirement Analysis,3.3,16,Software Engineering,Requirement Analyst,Associate
Computing,Software Version Control,2.57,20,Software Engineering,Version Control Specialist,Associate
Computing,Software Code Review,3.04,5,Quality assurance,Code Reviewer,Intern
Computing,Network Design and Management,3.34,20,Systems and Network Engineering,Network Design Engineer,Associate
Computing,Network Security,3.69,24,Systems and Network Engineering,Network Security Engineer,Associate
Computing,Cloud Infrastructure Management,3.66,17,Systems and Network Engineering,Cloud Infrastructure Manager,Associate
Computing,Distributed Systems,2.67,19,Systems and Network Engineering,Distributed Systems Engineer,Associate
Computing,Virtualization,3.59,6,Systems and Network Engineering,Virtualization Specialist,Intern
Computing,Network Performance Optimization,3.51,6,Systems and Network Engineering,Network Performance Engineer,Intern
Computing,Wireless and Mobile Networks,2.71,1,Systems and Network Engineering,Wireless Network Engineer,Intern
Computing,Network Protocols,3.51,6,Systems and Network Engineering,Network Protocols Specialist,Intern
Computing,Network Monitoring and Troubleshooting,3.48,24,Systems and Network Engineering,Network Troubleshooting Specialist,Associate
Computing,Internet Routing and Traffic Engineering,2.88,23,Systems and Network Engineering,Routing and Traffic Engineer,Associate
Computing,Network Administration,3.62,5,Networking,Network Administrator,Intern
Computing,Network Troubleshooting and Support,2.54,15,Networking,Network Support Specialist,Associate
Computing,Network Security Management,3,12,Networking,Network Security Manager,Associate
Computing,Network Planning and Design,3.54,13,Networking,Network Planner,Associate
Computing,Wireless Networking,2.98,7,Networking,Wireless Network Engineer,Intern
Computing,Network Protocols and Standards,2.78,6,Networking,Network Protocol Specialist,Intern
Computing,Network Performance Optimization,3.01,1,Networking,Network Performance Engineer,Intern
Computing,Network Virtualization,2.68,11,Networking,Network Virtualization Specialist,Intern
Computing,Network Traffic Analysis,3.58,21,Networking,Network Traffic Analyst,Associate
Computing,Network Device Configuration and Management,2.81,16,Networking,Network Device Manager,Associate
Computing,Cyber Threat Intelligence,2.71,7,Cybersecurity,Threat Intelligence Analyst,Intern
Computing,Security Operations and Incident Response,2.62,11,Cybersecurity,Security Operations Analyst,Intern
Computing,Vulnerability Assessment and Management,3.66,10,Cybersecurity,Vulnerability Management Specialist,Intern
Computing,Network Security,3.26,20,Cybersecurity,Network Security Engineer,Associate
Computing,Web Application Security,3.55,17,Cybersecurity,Web Application Security Specialist,Associate
Computing,Design,3.31,1,Computer System Networking,Audio Visual Technician,Intern
Computing,Support,3.37,2,Information System Engineering,Site Support Engineer,Intern
Computing,Support,3.35,24,Computer Systems,Field Engineer Server Support,Associate
Computing,Ensemble Learning,2.79,18,Data Science,Ensemble Learning Specialist,Associate
Computing,Data Science Ethics,3.35,21,Data Science,Data Science Ethics Specialist,Associate
Computing,Bayesian Statistics,3.39,8,Data Science,Bayesian Statistician,Intern
Computing,Data Science in Marketing,2.74,2,Data Science,Marketing Data Scientist,Intern
Computing,Software Testing and Quality Assurance,2.6,4,Quality assurance,Software Testing Engineer,Intern
Computing,Software Architecture and Design,2.88,14,Software Engineering,Software Architect,Associate
Computing,Agile Software Development,3.11,5,Software Engineering,Agile Software Developer,Intern
Computing,DevOps,3.17,13,Software Engineering,DevOps Engineer,Associate
Computing,Software Maintenance and Evolution,3.21,11,Software Engineering,Software Maintenance Engineer,Intern
Computing,Requirements Engineering,3.44,17,Software Engineering,Requirements Engineer,Associate
Computing,Software Metrics and Measurement,2.84,8,Software Engineering,Software Metrics Analyst,Intern
Computing,Software Project Management,3.16,17,Software Engineering,Software Project Manager,Associate
Computing,Software Verification and Validation,3.26,9,Software Engineering,Software Verification and Validation Engineer,Intern
Computing,Software Process Improvement,3.55,8,Software Engineering,Software Process Improvement Specialist,Intern
Computing,Continuous Integration and Deployment,3.11,19,Software Engineering,CI/CD Engineer,Associate
Computing,User Interface (UI) Design,2.86,14,Software Engineering,UI Designer,Associate
Computing,Software Security,3.6,15,Software Engineering,Software Security Engineer,Associate
Computing,Software Documentation,2.78,13,Software Engineering,Technical Writer,Associate
Computing,Software Configuration Management,2.88,4,Software Engineering,Configuration Manager,Intern
Computing,Software Quality Management,2.83,19,Software Engineering,Software Quality Manager,Associate
Computing,Software Engineering Ethics,2.84,10,Software Engineering,Software Engineering Ethics Specialist,Intern
Computing,Software Requirement Analysis,3.3,16,Software Engineering,Requirement Analyst,Associate
Computing,Software Version Control,2.57,20,Software Engineering,Version Control Specialist,Associate
Computing,Software Code Review,3.04,5,Quality assurance,Code Reviewer,Intern
Computing,Network Design and Management,3.34,20,Systems and Network Engineering,Network Design Engineer,Associate
Computing,Network Security,3.69,24,Systems and Network Engineering,Network Security Engineer,Associate
Computing,Cloud Infrastructure Management,3.66,17,Systems and Network Engineering,Cloud Infrastructure Manager,Associate
Computing,Distributed Systems,2.67,19,Systems and Network Engineering,Distributed Systems Engineer,Associate
Computing,Virtualization,3.59,6,Systems and Network Engineering,Virtualization Specialist,Intern
Computing,Network Performance Optimization,3.51,6,Systems and Network Engineering,Network Performance Engineer,Intern
Computing,Wireless and Mobile Networks,2.71,1,Systems and Network Engineering,Wireless Network Engineer,Intern
Computing,Network Protocols,3.51,6,Systems and Network Engineering,Network Protocols Specialist,Intern
Computing,Network Monitoring and Troubleshooting,3.48,24,Systems and Network Engineering,Network Troubleshooting Specialist,Associate
Computing,Internet Routing and Traffic Engineering,2.88,23,Systems and Network Engineering,Routing and Traffic Engineer,Associate
Computing,Network Administration,3.62,5,Networking,Network Administrator,Intern
Computing,Network Troubleshooting and Support,2.54,15,Networking,Network Support Specialist,Associate
Computing,Network Security Management,3,12,Networking,Network Security Manager,Associate
Computing,Network Planning and Design,3.54,13,Networking,Network Planner,Associate
Computing,Wireless Networking,2.98,7,Networking,Wireless Network Engineer,Intern
Computing,Network Protocols and Standards,2.78,6,Networking,Network Protocol Specialist,Intern
Computing,Network Performance Optimization,3.01,1,Networking,Network Performance Engineer,Intern
Computing,Network Virtualization,2.68,11,Networking,Network Virtualization Specialist,Intern
Computing,Network Traffic Analysis,3.58,21,Networking,Network Traffic Analyst,Associate
Computing,Network Device Configuration and Management,2.81,16,Networking,Network Device Manager,Associate
Computing,Cyber Threat Intelligence,2.71,7,Cybersecurity,Threat Intelligence Analyst,Intern
Computing,Security Operations and Incident Response,2.62,11,Cybersecurity,Security Operations Analyst,Intern
Computing,Vulnerability Assessment and Management,3.66,10,Cybersecurity,Vulnerability Management Specialist,Intern
Computing,Network Security,3.26,20,Cybersecurity,Network Security Engineer,Associate
Computing,Web Application Security,3.55,17,Cybersecurity,Web Application Security Specialist,Associate
Computing,Cryptography,3.25,2,Cybersecurity,Cryptography Expert,Intern
Computing,Identity and Access Management,3.28,15,Cybersecurity,IAM Specialist,Associate
Computing,Security Auditing and Compliance,3.67,17,Cybersecurity,Security Compliance Analyst,Associate
Computing,Risk Management and Governance,3.12,13,Cybersecurity,Cybersecurity Risk Manager,Associate
